g,t,var,multiplier
PP_50555_GEN1,24,UnitOn,30.0
PP_50555_GEN1,48,DT_Obl,32.0
PP_50555_GEN1,48,PowerGenerated,34.999999999997186
PP_50555_GEN1,48,UT_Obl,0.0783588009397268
PP_50555_GEN1,48,UnitOn,30.0
PP_50555_GEN2,24,DT_Obl,32.0
PP_50555_GEN2,24,PowerGenerated,35.0
PP_50555_GEN2,24,UT_Obl,0.0783588009397268
PP_50555_GEN2,24,UnitOn,30.0
PP_50555_GEN2,48,DT_Obl,32.0
PP_50555_GEN2,48,PowerGenerated,35.0
PP_50555_GEN2,48,UT_Obl,0.0783588009397268
PP_50555_GEN2,48,UnitOn,30.0
